 Lon(deg)   Lat(deg)   z(km)  DVp(%)  p(km/s) s(km/s)  VpVs   g/cm^3  P-ratio
  100.0000    5.2500   -2.00  -1.192    5.73    3.42  1.6755   2.661    0.24
  100.0000    5.0000   -2.00  -2.688    5.64    3.38  1.6715   2.645    0.24
  100.0000    4.7500   -2.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  100.0000    4.5000   -2.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  100.0000    4.2500   -2.00  -2.023    5.68    3.40  1.6732   2.652    0.24
  100.0000    4.0000   -2.00  -2.831    5.64    3.37  1.6711   2.643    0.24
  100.0000    3.0000   -2.00  -1.711    5.70    3.41  1.6741   2.656    0.24
  100.0000    2.7500   -2.00  -2.280    5.67    3.39  1.6725   2.649    0.24
  100.0000    2.5000   -2.00   0.557    5.83    3.47  1.6807   2.682    0.24
  100.0000    2.2500   -2.00  -1.850    5.69    3.40  1.6737   2.654    0.24
  100.0000    2.0000   -2.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  100.0000    1.7500   -2.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  100.0000    1.5000   -2.00   0.082    5.80    3.46  1.6793   2.676    0.24
  100.0000    1.2500   -2.00   3.000    5.97    3.54  1.6889   2.711    0.24
  100.0000    1.0000   -2.00  -0.000    5.80    3.45  1.6790   2.675    0.24
  100.5000    5.2500   -2.00  -0.824    5.75    3.43  1.6766   2.666    0.24
  100.5000    5.0000   -2.00  -0.162    5.79    3.45  1.6785   2.673    0.24
  100.7500    5.2500   -2.00  -0.378    5.78    3.44  1.6779   2.671    0.24
  100.7500    5.0000   -2.00  -0.078    5.80    3.45  1.6788   2.674    0.24
  100.7500    4.2500   -2.00  -0.144    5.79    3.45  1.6786   2.674    0.24
  101.0000    4.2500   -2.00  -1.026    5.74    3.43  1.6760   2.663    0.24
  101.2500    4.2500   -2.00  -0.009    5.80    3.45  1.6790   2.675    0.24
  101.5000    3.0000   -2.00  -0.707    5.76    3.43  1.6769   2.667    0.24
  101.7500    3.0000   -2.00  -0.591    5.77    3.44  1.6772   2.668    0.24
  103.0000    5.2500   -2.00  -0.278    5.78    3.45  1.6782   2.672    0.24
  103.2500    5.2500   -2.00  -0.234    5.79    3.45  1.6783   2.672    0.24
  103.2500    2.0000   -2.00  -1.522    5.71    3.41  1.6746   2.658    0.24
  103.2500    1.7500   -2.00   0.097    5.81    3.46  1.6793   2.676    0.24
  103.5000    2.0000   -2.00  -0.259    5.78    3.45  1.6782   2.672    0.24
  103.5000    1.7500   -2.00  -0.191    5.79    3.45  1.6784   2.673    0.24
  103.5000    1.5000   -2.00   0.261    5.82    3.46  1.6798   2.678    0.24
  103.5000    1.2500   -2.00   0.460    5.83    3.47  1.6804   2.681    0.24
  103.7500    1.7500   -2.00  -0.375    5.78    3.44  1.6779   2.671    0.24
  103.7500    1.5000   -2.00   1.215    5.87    3.49  1.6828   2.689    0.24
  103.7500    1.2500   -2.00   1.884    5.91    3.51  1.6850   2.697    0.24
  104.0000    1.7500   -2.00   0.326    5.82    3.46  1.6800   2.679    0.24
  104.0000    1.5000   -2.00   0.251    5.81    3.46  1.6798   2.678    0.24
  104.0000    1.2500   -2.00   0.608    5.84    3.47  1.6809   2.682    0.24
>
  100.0000    4.5000   -5.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  100.0000    2.2500   -5.00  -0.243    5.79    3.45  1.6783   2.672    0.24
  100.0000    2.0000   -5.00  -0.000    5.80    3.45  1.6790   2.675    0.24
  100.0000    1.7500   -5.00   0.008    5.80    3.45  1.6790   2.675    0.24
  100.5000    5.2500   -5.00  -2.696    5.64    3.38  1.6715   2.645    0.24
  100.5000    5.0000   -5.00  -0.555    5.77    3.44  1.6773   2.669    0.24
  100.7500    5.2500   -5.00  -0.887    5.75    3.43  1.6764   2.665    0.24
  100.7500    5.0000   -5.00  -0.174    5.79    3.45  1.6785   2.673    0.24
  100.7500    4.2500   -5.00  -0.552    5.77    3.44  1.6774   2.669    0.24
  101.0000    4.2500   -5.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  101.2500    4.2500   -5.00  -0.012    5.80    3.45  1.6790   2.675    0.24
  101.5000    3.0000   -5.00  -2.379    5.66    3.39  1.6723   2.648    0.24
  101.7500    3.0000   -5.00  -1.742    5.70    3.40  1.6740   2.655    0.24
  103.0000    5.2500   -5.00  -0.947    5.75    3.43  1.6762   2.664    0.24
  103.0000    2.0000   -5.00  -0.219    5.79    3.45  1.6784   2.673    0.24
  103.0000    1.7500   -5.00  -0.008    5.80    3.45  1.6790   2.675    0.24
  103.2500    5.2500   -5.00  -0.685    5.76    3.43  1.6770   2.667    0.24
  103.2500    2.0000   -5.00  -3.000    5.63    3.37  1.6707   2.641    0.24
  103.2500    1.7500   -5.00  -0.073    5.80    3.45  1.6788   2.674    0.24
  103.5000    2.0000   -5.00  -0.579    5.77    3.44  1.6773   2.668    0.24
  103.5000    1.7500   -5.00  -1.423    5.72    3.41  1.6749   2.659    0.24
  103.5000    1.5000   -5.00   0.483    5.83    3.47  1.6805   2.681    0.24
  103.5000    1.2500   -5.00   1.672    5.90    3.50  1.6843   2.695    0.24
  103.7500    1.7500   -5.00  -1.087    5.74    3.42  1.6758   2.663    0.24
  103.7500    1.5000   -5.00   3.000    5.97    3.54  1.6889   2.711    0.24
  103.7500    1.2500   -5.00   3.000    5.97    3.54  1.6889   2.711    0.24
  104.0000    1.7500   -5.00   0.930    5.85    3.48  1.6819   2.686    0.24
  104.0000    1.5000   -5.00   0.704    5.84    3.47  1.6812   2.683    0.24
  104.0000    1.2500   -5.00   1.683    5.90    3.50  1.6844   2.695    0.24
>
  100.0000    4.5000  -10.00   2.517    5.95    3.52  1.6872   2.705    0.24
  100.0000    4.2500  -10.00   0.076    5.80    3.46  1.6792   2.676    0.24
  100.0000    4.0000  -10.00  -0.197    5.79    3.45  1.6784   2.673    0.24
  100.0000    3.7500  -10.00  -0.169    5.79    3.45  1.6785   2.673    0.24
  100.0000    3.5000  -10.00  -0.471    5.77    3.44  1.6776   2.670    0.24
  100.0000    3.2500  -10.00  -2.036    5.68    3.40  1.6732   2.652    0.24
