YYYY/MM/DD HR:MI:SS.00  Z(km)  EVENT-ID STN   ARRIV-ID  XD(km)   BAZI   RCAL  REIN
1982/03/16 16:55:31.50  86.00    602355 KLM      13016  393.84  231.86  0.21  0.70     1
1982/03/16 16:55:31.50  86.00    602355 IPM      13016  463.65  211.27  1.78  2.50     2
1982/03/16 16:55:31.50  86.00    602355 KGM      13016  510.93  256.12 -1.34 -0.80     3
1983/09/13 18:42:04.35  60.00    568325 IPM      12161  446.73  237.46 -0.39  0.10     4
1983/09/13 18:42:04.35  60.00    568325 KLM      12161  454.37  258.93  1.59  1.90     5
1983/09/13 18:42:04.35  60.00    568325 KGM      12161  633.17  272.99 -1.03 -0.50     6
1984/02/02 21:13:00.22  10.00    558401 IPM      11916  288.07  259.15 -0.95 -1.10     7
1984/02/02 21:13:00.22  10.00    558401 KLM      11916  365.74  285.66 -2.44 -2.30     8
1984/02/02 21:13:00.22  10.00    558401 KGM      11916  581.36  292.12  0.02  0.50     9
1984/04/08 14:54:46.08  10.00    554698 IPM      11817  333.48  232.37  0.09  0.20    10
1984/04/08 14:54:46.08  10.00    554698 KLM      11817  337.08  261.36  1.85  1.80    11
1984/04/08 14:54:46.08  10.00    554698 KGM      11817  524.23  277.65  1.93  2.50    12
1984/05/29 04:36:10.72  75.40    553948 IPM      11798  437.24  258.11  2.46  2.90    13
1984/05/29 04:36:10.72  75.40    553948 KLM      11798  501.28  277.20  1.26  1.70    14
1984/05/29 04:36:10.72  75.40    553948 KGM      11798  707.88  284.97  0.72  1.50    15
1984/06/06 19:26:11.21  10.00    550426 KLM      11709  367.99  216.72 -1.22 -0.90    16
1984/06/06 19:26:11.21  10.00    550426 KGM      11709  442.02  246.79 -2.88 -2.40    17
1984/06/06 19:26:11.21  10.00    550426 IPM      11709  472.81  198.63  0.27  1.10    18
1984/07/08 02:28:52.97  82.50    548492 KLM      11657  402.56  233.07  0.83  1.30    19
1984/07/08 02:28:52.97  82.50    548492 IPM      11657  468.87  212.61  2.21  2.90    20
1984/07/08 02:28:52.97  82.50    548492 KGM      11657  522.30  256.57  1.22  1.80    21
1984/08/27 07:26:57.28  32.50    547734 KLM      11637  312.99  244.79 -1.23 -0.30    22
1984/08/27 07:26:57.28  32.50    547734 IPM      11637  357.53  216.79  0.06  1.30    23
1984/08/27 07:26:57.28  32.50    547734 KGM      11637  469.61  268.44 -2.52 -1.00    24
1984/11/17 06:49:31.57  33.70    539292 KLM      11443  536.09  231.46 -1.65 -0.10    25
1984/11/17 06:49:31.57  33.70    539292 IPM      11443  599.90  215.71 -0.57  1.10    26
1984/11/17 06:49:31.57  33.70    539292 KGM      11443  642.07  250.60 -2.03 -0.70    27
1984/11/17 07:27:11.69  26.20    539293 KLM      11444  517.83  232.57 -0.37  0.90    28
1984/11/17 07:27:11.69  26.20    539293 IPM      11444  579.53  216.16  1.17  2.50    29
1984/11/17 07:27:11.69  26.20    539293 KGM      11444  628.20  252.01  1.23  2.20    30
1984/11/17 11:45:47.11  32.30    539304 KLM      11445  545.97  231.91 -0.05  1.40    31
1984/11/17 11:45:47.11  32.30    539304 IPM      11445  608.27  216.34 -0.90  0.70    32
1984/11/17 11:45:47.11  32.30    539304 KGM      11445  652.79  250.67 -1.95 -0.70    33
1985/02/21 16:25:56.49  29.00    532676 KLM      11294  511.76  233.06  1.59  3.00    34
1985/02/21 16:25:56.49  29.00    532676 IPM      11294  572.45  216.42  2.06  3.50    35
1985/02/21 16:25:56.49  29.00    532676 KGM      11294  623.96  252.57  1.27  2.40    36
1985/04/12 14:55:42.69  99.90    527396 KLM      11165  356.74  238.87  1.27  1.70    37
1985/04/12 14:55:42.69  99.90    527396 IPM      11165  411.96  215.00  2.40  3.10    38
1985/04/12 14:55:42.69  99.90    527396 KGM      11165  495.75  262.60  1.33  1.90    39
1985/05/07 14:04:00.63  33.10    524385 KLM      11095  545.47  232.40 -1.18  0.40    40
1985/05/07 14:04:00.63  33.10    524385 IPM      11095  606.52  216.76 -0.77  0.80    41
1985/05/07 14:04:00.63  33.10    524385 KGM      11095  653.84  251.08 -1.36 -0.10    42
1985/10/20 04:22:59.34  35.00    513978 KLM      10835  515.32  211.48  0.58  1.40    43
1985/10/20 04:22:59.34  35.00    513978 KGM      10835  555.74  235.02  0.56  1.20    44
